City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Touros,BR,76.35,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
431,Soure,BR,82.63,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
432,Hambantota,LK,81.16,overcast clouds,6.1241,81.1185,Bungalow 63
433,Dicabisagan,PH,79.14,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
434,Sabang,ID,81.9,light rain,5.8933,95.3214,Hotel Citra
437,Jatai,BR,83.97,clear sky,-17.8814,-51.7144,Hotel Califórnia
440,Bela,IN,88.74,clear sky,25.9333,81.9833,Raj Bhawan
442,Hobyo,SO,83.23,clear sky,5.3505,48.5268,Iftin hotel hobyo
445,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
446,Ranong,TH,79.41,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
447,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
451,Marihatag,PH,78.55,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
452,Conceicao Do Araguaia,BR,87.76,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
454,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
459,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
464,Palimanan,ID,78.35,overcast clouds,-6.7069,108.4242,TAMAN NUANSA DEPOK I
465,Owando,CG,72.43,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
466,Gazanjyk,TM,70.39,overcast clouds,39.2446,55.5154,Railway motel
467,Tambura,SS,74.71,overcast clouds,5.6,27.4667,Rikito Lodge
468,Kiunga,PG,74.34,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
470,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
472,Tautira,PF,80.42,clear sky,-17.7333,-149.15,Pension Oaoa
475,Padang,ID,77.34,light rain,-0.9492,100.3543,Mercure Padang
479,Pathein,MM,80.49,overcast clouds,16.7833,94.7333,Pathein Hotel
480,Quibor,VE,80.58,overcast clouds,9.9287,-69.6201,Hostería Valle de Quibor
485,Auki,SB,77.52,overcast clouds,-8.7676,160.7034,Auki Motel
486,Alofi,NU,75.09,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
491,Inirida,CO,77.99,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
492,Cuenca,EC,71.73,broken clouds,-2.8833,-78.9833,Hotel Cuenca
494,Amuntai,ID,74.37,heavy intensity rain,-2.4177,115.2494,Hotel Balqis
495,Rumonge,BI,71.01,overcast clouds,-3.9736,29.4386,Kwetu Guest House
496,Esna,EG,82.42,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
497,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
502,Kikwit,CD,72.48,light rain,-5.041,18.8162,HOTEL PLACE YALABA
506,Port Blair,IN,80.64,light intensity drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
509,Pahrump,US,83.5,few clouds,36.2083,-115.9839,Best Western Pahrump Oasis
510,Mount Pleasant,US,78.01,broken clouds,32.7941,-79.8626,Best Western Patriots Point
512,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
518,Sinnamary,GF,80.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
519,Tabuk,PH,75.07,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
521,Humaita,BR,78.66,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
531,Sorong,ID,79.9,few clouds,-0.8833,131.25,Waigo Splash Hotel
535,Kapoeta,SS,82.54,few clouds,4.7717,33.5903,Eastgate Hotel
540,Galle,LK,81.84,overcast clouds,6.0367,80.217,Amangalla
543,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
545,Brainerd,US,73.42,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
547,Teluknaga,ID,80.64,light rain,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
551,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
